record_number,temperature,rate_coefficient,rate_coefficient_error,data_source
11247,2E+3,3.100000000000000119402160214E-12,1.7e-13,NIFS
11247,4E+3,7.579999999999999609241686781E-12,3.4e-13,NIFS
10873,1E+3,1.599999999999999967818636207E-11,2.6e-13,NIFS
10873,2E+3,2.889999999999999842917699698E-11,5.2e-13,NIFS
10873,4E+3,3.749999999999999975062026544E-11,7.5e-13,NIFS
11248,1E+3,9.210000000000000135853967527E-13,6.2e-14,NIFS
11248,2E+3,3.000000000000000141608334624E-12,1.7e-13,NIFS
11248,4E+3,6.660000000000000298214631527E-12,3.2e-13,NIFS
10874,1E+3,7.40999999999999948543346989E-11,5e-13,NIFS
10874,2E+3,1.049999999999999993017367432E-10,9e-13,NIFS
10874,4E+3,1.310000000000000129151770031E-10,1.4e-12,NIFS
11249,1E+3,1.040000000000000011393856212E-12,6.6e-14,NIFS
11249,2E+3,2.750000000000000197123770651E-12,1.6e-13,NIFS
11249,4E+3,4.88000000000000020880839587E-12,2.7e-13,NIFS
10875,1E+3,1.610000000000000023759155586E-9,2e-12,NIFS
10875,2E+3,2.129999999999999882437654508E-9,4e-12,NIFS
10875,4E+3,2.91999999999999984271819591E-9,6e-12,NIFS
11250,1E+3,9.449999999999999113206868605E-13,6.3e-14,NIFS
11250,2E+3,2.169999999999999841243442066E-12,1.4e-13,NIFS
11250,4E+3,3.60000000000000000837128816E-12,2.3e-13,NIFS
10876,1E+3,3.949999999999999930649677722E-11,4e-13,NIFS
10876,2E+3,5.200000000000000137748637756E-11,7.3e-13,NIFS
10876,4E+3,6.449999999999999698612744233E-11,9.7e-13,NIFS
11251,1E+3,3.900000000000000042726960796E-13,4e-14,NIFS
11251,2E+3,9.099999999999999594825262516E-13,9.4e-14,NIFS
11251,4E+3,1.439999999999999922569158569E-12,1.5e-13,NIFS
10864,1E+3,8.220000000000000113357024109E-12,1.8e-13,NIFS
10864,2E+3,1.390000000000000014451602469E-11,3.6e-13,NIFS
10864,4E+3,2.170000000000000002802155455E-11,5.9e-13,NIFS
11239,1E+3,1.630000000000000122715497273E-11,2.6e-13,NIFS
11239,2E+3,3.100000000000000280960873603E-11,5.6e-13,NIFS
11239,4E+3,5.919999999999999977864181999E-11,9.5e-13,NIFS
10865,1E+3,1.029999999999999932835116959E-11,2e-13,NIFS
10865,2E+3,1.710000000000000104950557744E-11,4.1e-13,NIFS
10865,4E+3,2.840000000000000015579500292E-11,6.5e-13,NIFS
11240,1E+3,2.500000000000000091080493289E-11,3.3e-13,NIFS
11240,2E+3,4.659999999999999934544552795E-11,6.5e-13,NIFS
11240,4E+3,8.310000000000000254930180529E-11,1.2e-12,NIFS
10866,1E+3,1.539999999999999981142340853E-11,2.5e-13,NIFS
10866,2E+3,3.249999999999999762975471819E-11,5.5e-13,NIFS
10866,4E+3,6.600000000000000473097049563E-11,9.9e-13,NIFS
11241,1E+3,3.989999999999999921767207958E-11,4e-13,NIFS
11241,2E+3,6.73000000000000028267030944E-11,8.1e-13,NIFS
11241,4E+3,1.040000000000000027549727551E-10,1.2e-12,NIFS
10867,1E+3,1.91999999999999998723175759E-9,2e-12,NIFS
10867,2E+3,2.620000000000000051508386925E-9,3e-12,NIFS
10867,4E+3,3.530000000000000010990913176E-9,7e-12,NIFS
11242,1E+3,2.059999999999999865670233917E-11,2.9e-13,NIFS
11242,2E+3,4.699999999999999925662083031E-11,6.6e-13,NIFS
11242,4E+3,8.280000000000000100033319463E-11,1.2e-12,NIFS
10868,1E+3,6.4500000000000001832888844E-12,1.6e-13,NIFS
10868,2E+3,1.559999999999999976701105971E-11,3.9e-13,NIFS
10868,4E+3,4.130000000000000213795990562E-11,7.8e-13,NIFS
11243,1E+3,1.59000000000000009120828869E-12,8.1e-14,NIFS
11243,2E+3,1.089999999999999919511412312E-11,3.3e-13,NIFS
11243,4E+3,4.210000000000000196031051033E-11,8e-13,NIFS
10869,1E+3,2.360000000000000041389780769E-12,1e-13,NIFS
10869,2E+3,4.559999999999999956750727206E-12,2.1e-13,NIFS
10869,4E+3,1.10000000000000007884950826E-11,4.1e-13,NIFS
11244,1E+3,1.009999999999999937276351841E-12,6.5e-14,NIFS
11244,2E+3,5.180000000000000142189872638E-12,2.2e-13,NIFS
11244,4E+3,2.260000000000000144375311875E-11,5.9e-13,NIFS
10870,1E+3,2.499999999999999848742423205E-12,1e-13,NIFS
10870,2E+3,4.480000000000000297633093513E-12,2.1e-13,NIFS
10870,4E+3,6.900000000000000083361099552E-12,3.2e-13,NIFS
11245,1E+3,9.369999999999999454089234912E-13,6.2e-14,NIFS
11245,2E+3,4.139999999999999726899232953E-12,2e-13,NIFS
11245,4E+3,1.280000000000000038878394321E-11,4.4e-13,NIFS
10871,1E+3,3.059999999999999885946559894E-12,1.1e-13,NIFS
10871,2E+3,6.059999999999999623658111045E-12,2.4e-13,NIFS
10871,4E+3,9.119999999999999913501454412E-12,3.7e-13,NIFS
11246,1E+3,9.249999999999999965412784373E-13,6.2e-14,NIFS
11246,2E+3,3.309999999999999830431123867E-12,1.8e-13,NIFS
11246,4E+3,9.809999999999999598720137589E-12,3.9e-13,NIFS
11552,1E+3,7.119999999999999953728159154E-13,3.7e-14,NIFS
11552,2E+3,7.840000000000000520857913648E-12,1.6e-13,NIFS
11552,4E+3,5.019999999999999854602324917E-11,6.5e-13,NIFS
10803,1E+3,6.209999999999999792297241166E-13,3.5e-14,NIFS
10803,2E+3,3.100000000000000119402160214E-12,1.1e-13,NIFS
10803,4E+3,9.929999999999999895190155075E-12,2.8e-13,NIFS
11177,1E+3,5.229999999999999929138393696E-13,3.2e-14,NIFS
11177,2E+3,4.06000000000000006778159926E-12,1.2e-13,NIFS
11177,4E+3,1.799999999999999923406287385E-11,3.8e-13,NIFS
10804,1E+3,1.349999999999999902165037192E-12,5.1e-14,NIFS
10804,2E+3,5.130000000000000153292959844E-12,1.4e-13,NIFS
10804,4E+3,1.320000000000000029995924557E-11,3.2e-13,NIFS
11178,1E+3,1.240000000000000017468605325E-13,1.5e-14,NIFS
11178,2E+3,2.670000000000000134109353485E-12,9.9e-14,NIFS
11178,4E+3,1.639999999999999958936166443E-11,3.6e-13,NIFS
10813,1E+3,3.929999999999999914896073431E-13,2.8e-14,NIFS
10813,2E+3,1.239999999999999966981507391E-12,6.7e-14,NIFS
10813,4E+3,3.089999999999999960064064265E-12,1.6e-13,NIFS
11187,2E+3,3.250000000000000035605800663E-14,1.1e-14,NIFS
11187,4E+3,4.279999999999999938148658862E-13,5.8e-14,NIFS
10814,1E+3,2.159999999999999883853737854E-13,2e-14,NIFS
10814,2E+3,6.979999999999999540530341508E-13,5e-14,NIFS
10814,4E+3,1.56999999999999997448048853E-12,1.1e-13,NIFS
11188,4E+3,3.489999999999999770265170754E-13,5.3e-14,NIFS
10815,1E+3,7.860000000000000082227636532E-14,1.2e-14,NIFS
10815,2E+3,2.849999999999999972969204504E-13,3.2e-14,NIFS
10815,4E+3,6.350000000000000205495058811E-13,7.1e-14,NIFS
11189,4E+3,3.1700000000000001240526773E-13,5e-14,NIFS
10816,1E+3,3.26000000000000011921324971E-14,7.9e-15,NIFS
10816,2E+3,6.509999999999999523730326197E-14,1.5e-14,NIFS
10816,4E+3,2.619999999999999943264048954E-13,4.6e-14,NIFS
11190,4E+3,2.700000000000000107252661988E-13,4.6e-14,NIFS
11191,4E+3,1.030000000000000028760603034E-13,2.9e-14,NIFS
10805,1E+3,1.919999999999999896758878092E-12,6.1e-14,NIFS
10805,2E+3,7.35000000000000079122688165E-12,1.6e-13,NIFS
10805,4E+3,1.819999999999999918965052503E-11,3.8e-13,NIFS
11179,2E+3,5.239999999999999886528097908E-13,4.3e-14,NIFS
11179,4E+3,8.59999999999999970585613457E-12,2.6e-13,NIFS
10806,1E+3,6.519999999999999683068422145E-12,1.1e-13,NIFS
10806,2E+3,1.890000000000000064979443805E-11,2.6e-13,NIFS
10806,4E+3,4.159999999999999722457998071E-11,5.8e-13,NIFS
11180,2E+3,1.590000000000000040721190756E-13,2.4e-15,NIFS
11180,4E+3,3.979999999999999600870398621E-12,1.8e-13,NIFS
10807,1E+3,1.99000000000000010739675475E-10,6e-12,NIFS
10807,2E+3,2.780000000000000222773661006E-10,8e-13,NIFS
10807,4E+3,3.240000000000000185248744072E-10,1.6e-12,NIFS
11181,2E+3,2.01999999999999997552689955E-13,2.7e-14,NIFS
11181,4E+3,2.169999999999999841243442066E-12,1.3e-13,NIFS
10808,1E+3,1.869999999999999953098405047E-9,0.0,NIFS
10808,2E+3,2.610000000000000292835900182E-9,3e-12,NIFS
10808,4E+3,3.700000000000000044326250569E-9,4e-12,NIFS
11182,2E+3,1.3299999999999998864114329E-13,2.2e-14,NIFS
11182,4E+3,1.719999999999999941171226914E-12,1.2e-13,NIFS
10809,1E+3,2.029999999999999969267314274E-10,6.1e-12,NIFS
10809,2E+3,2.840000000000000015579500292E-10,9e-13,NIFS
10809,4E+3,3.270000000000000081651663715E-10,1.6e-12,NIFS
11183,2E+3,1.549999999999999958726884239E-13,2.4e-14,NIFS
11183,4E+3,1.230000000000000009591803179E-12,9.8e-14,NIFS
10810,1E+3,6.56999999999999967196533494E-12,1.1e-13,NIFS
10810,2E+3,1.75000000000000009606808798E-11,2e-13,NIFS
10810,4E+3,3.489999999999999709680653233E-11,5.2e-13,NIFS
11184,2E+3,7.959999999999999656124678649E-14,1.7e-14,NIFS
11184,4E+3,1.10999999999999991507017743E-12,9.4e-14,NIFS
10811,1E+3,1.469999999999999996686662941E-12,5.2e-14,NIFS
10811,2E+3,5.299999999999999630866323178E-12,1.4e-13,NIFS
10811,4E+3,1.160000000000000065525803614E-11,3e-13,NIFS
11185,2E+3,6.509999999999999523730326197E-14,1.5e-14,NIFS
11185,4E+3,8.569999999999999833687021935E-13,8.2e-14,NIFS
10812,1E+3,6.959999999999999625750933085E-13,3.6e-15,NIFS
10812,2E+3,2.579999999999999911756840371E-12,9.5e-14,NIFS
10812,4E+3,5.490000000000000234909445354E-12,2.1e-13,NIFS
11186,2E+3,4.700000000000000168000153115E-14,1.3e-14,NIFS
11186,4E+3,4.439999999999999761254905589E-13,5.9e-14,NIFS
11557,1E+3,1.38000000000000001667221991E-11,1.9e-13,NIFS
11557,2E+3,4.33000000000000016938364174E-11,5.2e-13,NIFS
11557,4E+3,1.369999999999999921957609318E-10,1.8e-12,NIFS
10817,1E+3,2.95000000000000015271142183E-12,9.1e-14,NIFS
10817,2E+3,7.160000000000000187183759473E-12,1.9e-13,NIFS
10817,4E+3,1.75999999999999993228875715E-11,4.8e-13,NIFS
11192,1E+3,2.510000000000000008080519153E-12,8.5e-14,NIFS
11192,2E+3,7.320000000000000313212593806E-12,2e-13,NIFS
11192,4E+3,2.429999999999999945066101987E-11,5.6e-13,NIFS
10818,1E+3,3.239999999999999926754802649E-12,9.7e-14,NIFS
10818,2E+3,8.079999999999999498210814727E-12,2.2e-13,NIFS
10818,4E+3,1.690000000000000109391792626E-11,4.6e-13,NIFS
11193,1E+3,6.150000000000000249907407633E-12,1.4e-13,NIFS
11193,2E+3,1.599999999999999967818636207E-11,3e-13,NIFS
11193,4E+3,3.479999999999999873459984064E-11,6.6e-13,NIFS
10827,1E+3,2.099999999999999937567120848E-12,7.8e-14,NIFS
10827,2E+3,4.499999999999999808515718463E-12,1.6e-13,NIFS
10827,4E+3,8.94000000000000027658999513E-12,3.4e-13,NIFS
11202,2E+3,2.609999999999999985874344742E-13,3.9e-14,NIFS
11202,4E+3,1.420000000000000007789750146E-12,1.3e-13,NIFS
10828,1E+3,1.249999999999999924371211602E-12,6e-14,NIFS
10828,2E+3,2.410000000000000030286693564E-12,1.2e-13,NIFS
10828,4E+3,4.260000000000000023369250438E-12,2.3e-13,NIFS
11203,2E+3,1.859999999999999899985163152E-13,3.3e-14,NIFS
11203,4E+3,1.239999999999999966981507391E-12,1.3e-13,NIFS
10829,1E+3,5.469999999999999916233253458E-13,4e-14,NIFS
10829,2E+3,1.10999999999999991507017743E-12,8e-14,NIFS
10829,4E+3,1.839999999999999833744460926E-12,1.5e-13,NIFS
11204,2E+3,2.499999999999999949716619073E-13,3.8e-14,NIFS
11204,4E+3,9.210000000000000135853967527E-13,1.1e-13,NIFS
10830,1E+3,1.899999999999999981979469669E-13,2.3e-14,NIFS
10830,2E+3,3.829999999999999836128051973E-13,4.7e-14,NIFS
10830,4E+3,6.140000000000000090569311684E-13,8.8e-15,NIFS
11205,2E+3,1.220000000000000102689196902E-13,2.7e-14,NIFS
11205,4E+3,6.899999999999999881412707816E-13,9.4e-14,NIFS
10831,1E+3,4.030000000000000246099584559E-14,1.1e-14,NIFS
10831,2E+3,5.809999999999999982096134677E-14,1.8e-14,NIFS
10831,4E+3,1.149999999999999896090288079E-13,3.8e-14,NIFS
11206,2E+3,7.560000000000000098359061831E-14,2.1e-14,NIFS
11206,4E+3,2.170000000000000093678931736E-13,5.3e-14,NIFS
10819,1E+3,4.180000000000000364251616745E-12,1.1e-13,NIFS
10819,2E+3,9.950000000000000213866346971E-12,2.4e-13,NIFS
10819,4E+3,2.019999999999999874552703682E-11,5.1e-13,NIFS
11194,1E+3,3.100000000000000119402160214E-12,9.3e-14,NIFS
11194,2E+3,1.180000000000000061084568732E-11,2.6e-13,NIFS
11194,4E+3,3.249999999999999762975471819E-11,6.5e-13,NIFS
10820,1E+3,7.620000000000000246594070573E-12,1.4e-13,NIFS
10820,2E+3,1.679999999999999950053696678E-11,3.2e-13,NIFS
10820,4E+3,3.239999999999999926754802649E-11,6.5e-13,NIFS
11195,1E+3,1.919999999999999896758878092E-13,2.3e-14,NIFS
11195,2E+3,2.859999999999999930358908715E-12,1.3e-13,NIFS
11195,4E+3,1.919999999999999896758878092E-11,5e-13,NIFS
10821,1E+3,3.820000000000000121076417846E-11,3.4e-12,NIFS
10821,2E+3,7.480000000000000277682714748E-11,6.7e-13,NIFS
10821,4E+3,1.199999999999999992019848494E-10,1.2e-12,NIFS
11196,1E+3,1.379999999999999925795443629E-13,2e-14,NIFS
11196,2E+3,9.300000000000000762103264114E-13,7.3e-14,NIFS
11196,4E+3,9.250000000000000369309567846E-12,3.4e-13,NIFS
10822,1E+3,1.060000000000000061882583882E-9,1.1e-11,NIFS
10822,2E+3,1.429999999999999818161025174E-9,3e-12,NIFS
10822,4E+3,1.900000000000000056296477828E-9,4e-12,NIFS
11197,1E+3,1.259999999999999932248013748E-13,1.9e-14,NIFS
11197,2E+3,7.84999999999999987240244265E-13,6.8e-14,NIFS
11197,4E+3,4.840000000000000379249579024E-12,2.5e-13,NIFS
10823,1E+3,3.77000000000000029373821844E-11,3.4e-12,NIFS
10823,2E+3,9.769999999999999607602607353E-11,8e-13,NIFS
10823,4E+3,2.070000000000000089631815221E-10,1.7e-12,NIFS
11198,1E+3,1.180000000000000020694890385E-13,1.8e-14,NIFS
11198,2E+3,7.030000000000000337220821249E-13,6.4e-14,NIFS
11198,4E+3,3.460000000000000201018645724E-12,2.1e-13,NIFS
10824,1E+3,1.060000000000000061882583882E-9,1.1e-11,NIFS
10824,2E+3,0.000001399999999999999936647356556,3e-12,NIFS
10824,4E+3,1.829999999999999884432692384E-9,4e-12,NIFS
11199,1E+3,6.330000000000000543151140059E-14,1.3e-14,NIFS
11199,2E+3,5.059999999999999643771463416E-13,5.4e-14,NIFS
11199,4E+3,2.67999999999999988955066596E-12,1.8e-13,NIFS
10825,1E+3,4.260000000000000023369250438E-11,3.4e-12,NIFS
10825,2E+3,8.639999999999999373856238027E-11,7e-13,NIFS
10825,4E+3,1.330000000000000060087049794E-10,1.3e-12,NIFS
11200,1E+3,6.619999999999999812323541537E-14,1.4e-14,NIFS
11200,2E+3,4.120000000000000115042412134E-13,4.9e-14,NIFS
11200,4E+3,1.910000000000000141317565617E-12,1.6e-13,NIFS
10826,1E+3,6.119999999999999771893119788E-12,1.3e-13,NIFS
10826,2E+3,1.330000000000000027775307116E-11,2.8e-13,NIFS
10826,4E+3,2.369999999999999958389806633E-11,5.5e-13,NIFS
11201,1E+3,4.310000000000000062753261167E-14,1.1e-14,NIFS
11201,2E+3,2.499999999999999949716619073E-13,3.8e-14,NIFS
11201,4E+3,1.679999999999999909664018331E-12,1.5e-13,NIFS
11562,1E+3,3.949999999999999930649677722E-11,3.2e-13,NIFS
11562,2E+3,1.03000000000000006208208767E-10,7e-13,NIFS
11562,4E+3,2.510000000000000121171618526E-10,1.8e-12,NIFS
10832,1E+3,6.059999999999999623658111045E-12,1.3e-13,NIFS
10832,2E+3,1.180000000000000061084568732E-11,2e-13,NIFS
10832,4E+3,1.910000000000000060538208923E-11,5e-13,NIFS
11207,1E+3,3.560000000000000178812471314E-12,1e-13,NIFS
11207,2E+3,9.880000000000000714086809226E-12,2.2e-13,NIFS
11207,4E+3,2.649999999999999896212518283E-11,5.8e-13,NIFS
10833,1E+3,6.229999999999999909025041325E-12,1.3e-13,NIFS
10833,2E+3,1.230000000000000049981481527E-11,2e-13,NIFS
10833,4E+3,1.990000000000000042773269394E-11,5e-13,NIFS
11208,1E+3,7.110000000000000198286846679E-12,1.4e-13,NIFS
11208,2E+3,1.870000000000000069420678687E-11,3e-13,NIFS
11208,4E+3,4.029999999999999912884738194E-11,7.3e-13,NIFS
10842,1E+3,5.689999999999999867379669754E-11,4e-13,NIFS
10842,2E+3,9.060000000000000249942585837E-11,6e-13,NIFS
10842,4E+3,1.279999999999999974254908965E-10,1.3e-12,NIFS
11217,1E+3,7.67000000000000038695227717E-14,1.4e-14,NIFS
11217,2E+3,6.080000000000000346231086415E-13,5.4e-14,NIFS
11217,4E+3,3.230000000000000171313490174E-12,2e-14,NIFS
10843,1E+3,5.519999999999999905130166252E-12,1.2e-13,NIFS
10843,2E+3,1.220000000000000052202098968E-11,2.4e-13,NIFS
10843,4E+3,2.099999999999999856787764153E-11,5.3e-13,NIFS
11218,1E+3,8.500000000000000384394582124E-14,1.5e-15,NIFS
11218,2E+3,5.219999999999999971748689485E-13,5e-14,NIFS
11218,4E+3,2.479999999999999933963014782E-12,1.8e-13,NIFS
10844,1E+3,1.560000000000000017090784318E-12,6.6e-14,NIFS
10844,2E+3,3.530000000000000104694966942E-12,1.3e-13,NIFS
10844,4E+3,5.879999999999999986746651763E-12,2.8e-13,NIFS
11219,1E+3,6.579999999999999477893745349E-14,1.3e-14,NIFS
11219,2E+3,5.309999999999999588256027389E-13,5e-14,NIFS
11219,4E+3,1.819999999999999918965052503E-12,1.5e-13,NIFS
10845,1E+3,5.529999999999999660571478727E-13,3.9e-14,NIFS
10845,2E+3,1.080000000000000042901064795E-12,7.2e-14,NIFS
10845,4E+3,1.120000000000000074408273378E-12,1.2e-13,NIFS
11220,1E+3,6.579999999999999477893745349E-14,1.3e-14,NIFS
11220,2E+3,4.260000000000000023369250438E-13,4.5e-14,NIFS
11220,4E+3,1.149999999999999946577386013E-12,1.2e-13,NIFS
10846,1E+3,5.749999999999999480451440395E-14,1.3e-14,NIFS
10846,2E+3,1.290000000000000056852616054E-13,2.5e-14,NIFS
10846,4E+3,2.299999999999999792180576158E-13,5.4e-14,NIFS
11221,1E+3,4.659999999999999833570356927E-14,1.1e-14,NIFS
11221,2E+3,2.529999999999999821885731708E-13,3.5e-14,NIFS
11221,4E+3,2.94000000000000009434752175E-13,6.1e-14,NIFS
10834,1E+3,6.889999999999999924023003604E-12,1.4e-13,NIFS
10834,2E+3,1.360000000000000021113454793E-11,2.6e-13,NIFS
10834,4E+3,2.280000000000000139934076992E-11,5.5e-13,NIFS
11209,1E+3,1.029999999999999932835116959E-11,1.6e-13,NIFS
11209,2E+3,2.469999999999999936183632223E-11,3.5e-13,NIFS
11209,4E+3,4.88000000000000020880839587E-11,7.8e-13,NIFS
10835,1E+3,8.450000000000000546958963132E-12,1.5e-13,NIFS
10835,2E+3,1.790000000000000146639224743E-8,2.9e-13,NIFS
10835,4E+3,3.279999999999999917872332885E-11,6.6e-13,NIFS
11210,1E+3,8.230000000000000272695120057E-12,1.5e-13,NIFS
